,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint
0,k403,Ramicane,Male,21,16,45
1,s185,Capomulin,Female,3,17,45
2,x401,Capomulin,Female,16,15,45
3,m601,Capomulin,Male,22,17,45
4,g791,Ramicane,Male,11,16,45
5,s508,Ramicane,Male,1,17,45
6,f966,Capomulin,Male,16,17,20
7,m546,Ramicane,Male,18,16,45
8,z578,Ramicane,Male,11,16,45
9,j913,Ramicane,Female,4,17,45
10,u364,Capomulin,Male,18,17,45
11,n364,Ramicane,Male,4,17,45
12,y793,Capomulin,Male,17,17,45
13,r554,Capomulin,Female,8,17,45
14,m957,Capomulin,Female,3,19,45
15,c758,Ramicane,Male,9,17,45
16,t565,Capomulin,Female,20,17,45
17,a644,Ramicane,Female,7,17,45
18,i177,Ramicane,Male,10,18,45
19,j989,Ramicane,Male,8,19,45
20,i738,Capomulin,Female,23,20,45
21,a520,Ramicane,Male,13,21,45
22,w914,Capomulin,Male,24,21,45
23,r811,Ramicane,Male,9,19,45
24,g288,Capomulin,Male,3,19,45
25,i334,Ramicane,Female,8,20,45
26,q610,Ramicane,Female,18,21,35
27,d251,Ramicane,Female,8,19,45
28,l897,Capomulin,Male,17,19,45
29,c458,Ramicane,Female,23,20,30
30,b742,Capomulin,Male,7,21,45
31,b128,Capomulin,Female,9,22,45
32,j246,Capomulin,Female,21,21,35
33,a411,Ramicane,Male,3,22,45
34,j119,Capomulin,Female,7,23,45
35,w150,Capomulin,Male,23,23,10
36,v923,Capomulin,Female,19,21,45
37,g316,Capomulin,Female,22,22,45
38,s710,Capomulin,Female,1,23,45
39,l509,Capomulin,Male,17,21,45
40,r944,Capomulin,Male,12,25,45
41,e662,Ramicane,Male,8,24,45
42,u196,Ramicane,Male,18,25,45
43,q597,Ramicane,Male,20,25,45
44,a444,Ramicane,Female,10,25,45
45,i557,Capomulin,Female,1,24,45
46,r921,Ramicane,Female,5,25,30
47,w678,Ramicane,Female,5,24,5
48,y449,Ramicane,Male,19,24,15
49,a203,Infubinol,Female,20,23,45
50,a251,Infubinol,Female,21,25,45
51,a262,Placebo,Female,17,29,45
52,a275,Ceftamin,Female,20,28,45
53,a366,Stelasyn,Female,16,29,30
54,a401,Zoniferol,Female,8,25,45
55,a457,Ketapril,Female,11,30,10
56,a492,Stelasyn,Male,20,25,45
57,a577,Infubinol,Female,6,25,30
58,a685,Infubinol,Male,8,30,45
59,a699,Propriva,Female,5,28,45
60,a788,Zoniferol,Male,5,30,30
61,a818,Naftisol,Female,12,28,45
62,a897,Placebo,Male,7,28,45
63,a963,Stelasyn,Female,23,27,45
64,b313,Zoniferol,Male,12,27,25
65,b447,Ceftamin,Male,2,30,0
66,b487,Ceftamin,Female,6,28,25
67,b559,Naftisol,Male,20,26,45
68,b759,Ceftamin,Female,12,25,30
69,b879,Stelasyn,Female,4,26,45
70,c139,Infubinol,Male,11,28,45
71,c264,Zoniferol,Female,11,27,45
72,c282,Placebo,Male,12,27,45
73,c302,Zoniferol,Female,10,29,45
74,c326,Infubinol,Female,18,25,5
75,c402,Stelasyn,Female,1,27,45
76,c559,Zoniferol,Female,19,28,45
77,c580,Ketapril,Male,22,25,30
78,c757,Placebo,Male,9,27,45
79,c766,Placebo,Female,13,26,45
80,c819,Ketapril,Male,21,25,40
81,c832,Ketapril,Male,18,29,45
82,c895,Infubinol,Female,7,29,30
83,c927,Propriva,Female,4,26,40
84,d133,Zoniferol,Male,5,30,0
85,d164,Zoniferol,Male,21,28,10
86,d474,Ketapril,Male,18,27,40
87,e213,Naftisol,Male,8,27,45
88,e227,Placebo,Male,1,30,45
89,e291,Naftisol,Female,14,29,25
90,e476,Infubinol,Male,23,26,45
91,e584,Naftisol,Male,9,27,45
92,f129,Zoniferol,Female,11,29,15
93,f234,Stelasyn,Male,14,28,35
94,f278,Ketapril,Male,12,30,5
95,f345,Infubinol,Male,23,26,45
96,f394,Zoniferol,Male,19,30,5
97,f436,Ceftamin,Female,3,25,15
98,f545,Zoniferol,Female,20,26,45
99,f932,Ketapril,Male,15,29,0
100,f993,Naftisol,Male,21,28,20
101,g107,Ketapril,Female,2,29,35
102,g296,Zoniferol,Female,14,29,45
103,g497,Ketapril,Male,19,28,45
104,g558,Propriva,Male,8,29,40
105,g570,Propriva,Male,16,29,45
106,g867,Stelasyn,Female,9,25,15
107,g989,Propriva,Female,21,26,35
108,h246,Ketapril,Male,13,30,45
109,h333,Stelasyn,Male,21,27,30
110,h428,Ketapril,Female,1,27,0
111,h531,Ceftamin,Male,5,27,5
112,i386,Infubinol,Female,23,29,40
113,i477,Placebo,Female,3,30,10
114,i635,Propriva,Male,21,26,45
115,i669,Placebo,Female,18,27,25
116,i901,Stelasyn,Male,23,29,45
117,j235,Placebo,Male,6,30,20
118,j296,Ceftamin,Female,24,30,45
119,j365,Zoniferol,Male,24,28,45
120,j755,Naftisol,Male,23,27,45
121,j984,Stelasyn,Female,2,30,45
122,k210,Ceftamin,Male,15,28,45
123,k382,Ketapril,Male,22,29,45
124,k483,Infubinol,Female,20,30,45
125,k510,Stelasyn,Female,8,27,20
126,k603,Propriva,Male,2,27,20
127,k754,Zoniferol,Female,8,26,20
128,k804,Infubinol,Female,23,29,35
129,k862,Stelasyn,Female,13,25,45
130,k894,Zoniferol,Female,13,29,45
131,l215,Propriva,Male,10,29,10
132,l264,Ketapril,Female,15,30,10
133,l471,Ceftamin,Female,7,28,45
134,l490,Ceftamin,Male,24,26,30
135,l558,Ceftamin,Female,13,30,10
136,l661,Ceftamin,Male,18,26,45
137,l700,Naftisol,Female,18,27,45
138,l725,Naftisol,Female,8,26,45
139,l733,Ceftamin,Female,4,30,45
140,l872,Placebo,Male,19,30,0
141,m133,Naftisol,Female,2,26,25
142,m269,Stelasyn,Female,22,28,45
143,m331,Zoniferol,Female,19,26,15
144,m550,Ketapril,Male,18,28,45
145,m650,Ketapril,Male,15,27,45
146,m756,Infubinol,Male,19,30,5
147,n304,Naftisol,Male,9,26,45
148,n482,Propriva,Female,4,29,0
149,n630,Propriva,Female,15,29,5
150,n671,Infubinol,Male,18,25,30
151,n678,Propriva,Male,5,29,10
152,n763,Placebo,Female,16,25,40
153,n923,Ketapril,Male,19,30,40
154,n967,Zoniferol,Male,11,27,15
155,o287,Ceftamin,Male,2,28,45
156,o302,Placebo,Female,2,29,30
157,o331,Ketapril,Male,24,30,45
158,o523,Propriva,Female,6,25,10
159,o562,Propriva,Female,4,25,45
160,o725,Naftisol,Male,4,26,15
161,o795,Placebo,Female,20,26,45
162,o809,Infubinol,Male,3,25,35
163,o813,Infubinol,Male,24,28,5
164,o848,Stelasyn,Female,14,27,0
165,o926,Zoniferol,Male,15,29,45
166,o973,Ketapril,Female,11,29,40
167,p136,Zoniferol,Female,5,28,45
168,p189,Ketapril,Male,8,28,45
169,p310,Propriva,Male,6,26,25
170,p387,Stelasyn,Male,3,30,40
171,p438,Ceftamin,Female,11,26,45
172,p981,Stelasyn,Male,20,29,35
173,q119,Ketapril,Male,17,30,10
174,q132,Infubinol,Female,1,30,30
175,q483,Ceftamin,Male,6,26,40
176,q511,Zoniferol,Female,2,28,45
177,q582,Placebo,Male,5,30,35
178,q633,Zoniferol,Male,12,25,45
179,q787,Placebo,Male,17,27,45
180,r107,Propriva,Female,2,28,30
181,r157,Capomulin,Male,22,25,15
182,r604,Naftisol,Male,7,30,45
183,r701,Naftisol,Male,21,25,45
184,r850,Placebo,Male,5,30,15
185,s121,Infubinol,Male,23,26,25
186,s141,Propriva,Male,8,25,30
187,s152,Placebo,Female,4,30,25
188,s166,Placebo,Male,19,27,10
189,s187,Propriva,Male,22,25,30
190,s337,Zoniferol,Male,14,27,45
191,s565,Stelasyn,Female,3,29,45
192,s619,Stelasyn,Male,22,30,5
193,t198,Propriva,Male,22,26,45
194,t451,Stelasyn,Male,8,29,45
195,t573,Ceftamin,Female,15,27,0
196,t718,Placebo,Female,10,30,45
197,t724,Naftisol,Female,2,25,45
198,t994,Placebo,Male,14,30,20
199,u149,Ceftamin,Male,24,29,25
200,u153,Ceftamin,Female,11,25,0
201,u327,Ketapril,Male,17,25,45
202,u946,Propriva,Male,5,30,20
203,v199,Naftisol,Female,17,29,0
204,v289,Ketapril,Female,3,26,25
205,v295,Naftisol,Female,2,27,40
206,v339,Infubinol,Male,20,26,5
207,v409,Placebo,Female,16,25,10
208,v603,Ketapril,Female,22,30,35
209,v719,Infubinol,Female,17,30,20
210,v764,Stelasyn,Female,5,30,15
211,v766,Infubinol,Male,16,27,15
212,v835,Naftisol,Male,7,29,20
213,v989,Placebo,Male,4,25,10
214,v991,Propriva,Female,10,30,45
215,w140,Zoniferol,Female,19,30,5
216,w151,Ceftamin,Male,24,25,45
217,w167,Placebo,Female,6,28,35
218,w193,Infubinol,Male,22,30,20
219,w350,Propriva,Male,7,26,45
220,w422,Ketapril,Female,18,26,45
221,w540,Stelasyn,Female,8,26,25
222,w575,Zoniferol,Female,16,28,45
223,w584,Infubinol,Male,3,29,30
224,w697,Stelasyn,Female,14,30,35
225,w746,Propriva,Male,1,26,5
226,x111,Propriva,Female,24,27,10
227,x209,Propriva,Female,7,29,10
228,x226,Ceftamin,Male,23,28,0
229,x264,Naftisol,Female,21,27,40
230,x336,Naftisol,Female,4,29,0
231,x402,Stelasyn,Male,21,28,45
232,x581,Ceftamin,Female,19,28,45
233,x613,Zoniferol,Female,2,29,15
234,x773,Placebo,Female,21,30,45
235,x822,Ceftamin,Male,3,29,45
236,x930,Naftisol,Male,13,26,25
237,y163,Infubinol,Female,17,27,45
238,y260,Ketapril,Female,7,25,45
239,y478,Placebo,Female,3,25,45
240,y601,Naftisol,Female,23,25,5
241,y769,Ceftamin,Female,6,27,45
242,y865,Ceftamin,Male,23,26,45
243,z234,Naftisol,Female,19,27,5
244,z314,Stelasyn,Female,21,28,5
245,z435,Propriva,Female,12,26,10
246,z581,Infubinol,Female,24,25,45
247,z795,Naftisol,Female,13,29,45
248,z969,Naftisol,Male,9,30,45
